,id,Id. Piquete,Piquete,Área,Cultivar,Módulo,Produção planejada,Tx. Ac mês,Estoque,Oferta mês,GM,Nome GM,Tipo,Dias,Ordem,Piq. atual,Último pastejo,Dias Ciclo,Centro,Cod. Fazenda,Fazenda,Dias descanso,Meta fazenda,Meta GM,geometry,lat,lon,,,,,,,,,
18,19,10117M11P5,M11P5,15.93,Piatã,11,101 | 10t | 2022,7.53,"1,743.63","10,924.53",60,"Lote 148,145, outros",Oferta,3,5,0,1969-12-31 21:00:45,9.67,"-20.151839, -53.297934",101,Santa Helena,7.00,958.34,499.61,POINT (-53.297934 -20.151839),-20.15,-53.30,,,,
19,20,10117M11P6,M11P6,13.51,Piatã,11,101 | 10t | 2022,7.53,"2,122.73","10,897.72",60,"Lote 148,145, outros",Oferta,3,3,0,1969-12-31 21:00:45,18.67,"-20.150365, -53.294003",101,Santa Helena,16.00,"1,127.88",932.36,POINT (-53.294003 -20.150365),-20.15,-53.29,,,
20,21,10117M11P7,M11P7,14.48,Piatã,11,101 | 10t | 2022,7.53,"2,029.60","11,252.48",60,"Lote 148,145, outros",Oferta,4,2,0,1969-12-31 21:00:45,21.66,"-20.147958, -53.291229",101,Santa Helena,19.00,"1,077.02",824.17,POINT (-53.291229 -20.147958),-20.15,-53.29,,,
21,22,10117M11P8,M11P8,14.96,Piatã,11,101 | 10t | 2022,7.53,"2,451.93","13,645.54",60,"Lote 148,145, outros",Oferta,4,1,0,1969-12-31 21:00:45,24.39,"-20.153629, -53.294955",101,Santa Helena,22.00,"1,280.46","1,040.54",POINT (-53.294955 -20.153629),-20.15,-53.29,,
22,23,10117M12P1,M12P1,11.04,Marandu,12,101 | 13t | 2022,9.47,"2,835.71","11,785.69",53,"Lote 9090130,137, outros",Oferta,13,1,0,1969-12-31 21:00:45,22.26,"-20.191574, -53.329743",101,Santa Helena,18.00,"1,500.86","1,836.71",POINT (-53.329743 -20.191574),-20.19,-53.33,,
23,24,10117M12P10,M12P10,11.28,Marandu,12,101 | 13t | 2022,9.47,"2,909.95","12,308.98",72,Lote 167,Oferta,6,6,0,1969-12-31 21:00:45,7.36,"-20.191207, -53.323372",101,Santa Helena,2.00,"1,551.72","2,572.12",POINT (-53.323372 -20.191207),-20.19,-53.32,,,,
24,25,10117M12P11,M12P11,10.81,Marandu,12,101 | 13t | 2022,9.47,"2,371.59","9,942.86",72,Lote 167,Oferta,5,4,0,1969-12-31 21:00:45,15.65,"-20.191304, -53.326555",101,Santa Helena,10.00,"1,229.60","1,545.71",POINT (-53.326555 -20.191304),-20.19,-53.33,,,,
25,26,10117M12P2,M12P2,8.89,Marandu,12,101 | 13t | 2022,9.47,"1,902.65","6,844.43",72,Lote 167,Oferta,3,3,0,1969-12-31 21:00:45,17.42,"-20.191861, -53.332791",101,Santa Helena,13.00,"1,009.20","1,289.11",POINT (-53.332791 -20.191861),-20.19,-53.33,,,,
26,27,10117M12P3,M12P3,8.91,Marandu,12,101 | 13t | 2022,9.47,"2,479.22","8,501.41",72,Lote 167,Oferta,4,1,0,1969-12-31 21:00:45,29.43,"-20.192404, -53.335848",101,Santa Helena,26.00,"1,288.94","2,058.92",POINT (-53.335848 -20.192404),-20.19,-53.34,,,,
27,28,10117M12P4,M12P4,9.37,Marandu,12,101 | 13t | 2022,9.47,"1,594.65","6,289.64",72,Lote 167,Oferta,3,5,0,1969-12-31 21:00:45,12.57,"-20.189303, -53.332852",101,Santa Helena,8.00,924.43,"1,032.51",POINT (-53.332852 -20.189303),-20.19,-53.33,,,,,
